Departure,Arrival,Date,Departure,Arrival,Flight
,,,Hour,Hour,Count
,,,,,
,,,,,
PBI,EWR,5/2/13,17,20,1
PDX,EWR,5/2/13,6,14,1
PHL,EWR,5/2/13,9,10,1
PHL,EWR,5/2/13,13,14,1
PHL,EWR,5/2/13,16,17,1
PHL,EWR,5/2/13,19,20,1
PHL,EWR,5/2/13,20,21,1
PHL,EWR,5/2/13,22,23,1
PHX,EWR,5/2/13,6,14,1
PHX,EWR,5/2/13,8,16,1
PHX,EWR,5/2/13,10,17,1
PHX,EWR,5/2/13,10,18,1
PHX,EWR,5/2/13,12,19,1
PHX,EWR,5/2/13,15,23,1
PHX,EWR,5/2/13,22,6,1
PIT,EWR,5/2/13,6,7,3
PIT,EWR,5/2/13,7,8,1
PIT,EWR,5/2/13,8,10,1
PIT,EWR,5/2/13,9,11,1
PIT,EWR,5/2/13,12,14,1
PIT,EWR,5/2/13,14,15,1
PIT,EWR,5/2/13,17,19,1
PVD,EWR,5/2/13,3,4,1
PVD,EWR,5/2/13,6,7,1
PVD,EWR,5/2/13,7,7,1
PVD,EWR,5/2/13,13,14,1
PVD,EWR,5/2/13,17,18,1
PWM,EWR,5/2/13,6,7,1
PWM,EWR,5/2/13,10,12,1
PWM,EWR,5/2/13,15,16,1
PWM,EWR,5/2/13,18,20,1
RDU,EWR,5/2/13,6,7,1
RDU,EWR,5/2/13,7,9,1
RDU,EWR,5/2/13,10,12,1
RDU,EWR,5/2/13,12,14,1
RDU,EWR,5/2/13,14,16,1
RDU,EWR,5/2/13,16,18,1
RIC,EWR,5/2/13,6,7,1
RIC,EWR,5/2/13,7,8,1
RIC,EWR,5/2/13,10,11,1
RIC,EWR,5/2/13,13,14,1
RIC,EWR,5/2/13,17,18,1
ROC,EWR,5/2/13,6,7,1
ROC,EWR,5/2/13,10,11,1
ROC,EWR,5/2/13,13,15,1
ROC,EWR,5/2/13,16,17,1
ROC,EWR,5/2/13,17,19,1
RSW,EWR,5/2/13,7,10,1
RSW,EWR,5/2/13,10,13,1
RSW,EWR,5/2/13,11,14,1
RSW,EWR,5/2/13,14,17,1
SAN,EWR,5/2/13,6,14,1
SAN,EWR,5/2/13,13,21,1
SAN,EWR,5/2/13,21,5,1
SAT,EWR,5/2/13,12,17,1
SAV,EWR,5/2/13,12,14,1
SAV,EWR,5/2/13,16,18,1
SAV,EWR,5/2/13,19,21,1
SDF,EWR,5/2/13,3,4,1
SDF,EWR,5/2/13,3,5,1
SDF,EWR,5/2/13,4,5,1
SDF,EWR,5/2/13,6,8,1
SDF,EWR,5/2/13,12,14,1
SDF,EWR,5/2/13,13,15,1
SDF,EWR,5/2/13,15,17,2
SDF,EWR,5/2/13,17,19,1
SDF,EWR,5/2/13,18,20,1
SDF,EWR,5/2/13,20,22,1
SEA,EWR,5/2/13,6,14,1
SEA,EWR,5/2/13,9,17,1
SEA,EWR,5/2/13,10,19,1
SEA,EWR,5/2/13,15,23,2
SEA,EWR,5/2/13,21,5,1
SFO,EWR,5/2/13,6,14,1
SFO,EWR,5/2/13,7,15,1
SFO,EWR,5/2/13,8,16,2
SFO,EWR,5/2/13,8,17,1
SFO,EWR,5/2/13,9,18,1
SFO,EWR,5/2/13,11,19,1
SFO,EWR,5/2/13,11,20,1
SFO,EWR,5/2/13,12,21,1
SFO,EWR,5/2/13,14,22,2
SFO,EWR,5/2/13,15,23,1
SFO,EWR,5/2/13,16,0,1
SFO,EWR,5/2/13,21,5,2
SFO,EWR,5/2/13,22,7,1
SFO,EWR,5/2/13,23,8,1
SJU,EWR,5/2/13,16,20,1
SJU,EWR,5/2/13,16,21,1
SLC,EWR,5/2/13,9,16,1
SNA,EWR,5/2/13,6,15,1
SNA,EWR,5/2/13,16,0,1
SNA,EWR,5/2/13,21,5,1
STL,EWR,5/2/13,6,9,1
STL,EWR,5/2/13,8,12,1
STL,EWR,5/2/13,10,13,1
STL,EWR,5/2/13,12,15,1
STL,EWR,5/2/13,15,19,1
STL,EWR,5/2/13,17,21,1
STL,EWR,5/2/13,18,21,1
STL,EWR,5/2/13,19,22,1
SWF,EWR,5/2/13,6,7,1
SYR,EWR,5/2/13,6,7,1
SYR,EWR,5/2/13,10,11,1
SYR,EWR,5/2/13,12,14,1
SYR,EWR,5/2/13,17,19,1
SYR,EWR,5/2/13,22,23,1
TEB,EWR,5/2/13,10,10,1
TPA,EWR,5/2/13,7,9,1
TPA,EWR,5/2/13,9,12,1
TPA,EWR,5/2/13,11,14,1
TPA,EWR,5/2/13,14,16,1
TPA,EWR,5/2/13,16,19,1
TPA,EWR,5/2/13,19,22,1
TPA,EWR,5/2/13,20,23,1
TUL,EWR,5/2/13,6,10,1
TYS,EWR,5/2/13,12,14,1
XNA,EWR,5/2/13,19,23,1
CYEG,EWR,5/2/13,7,13,1
CYHZ,EWR,5/2/13,6,7,1
CYHZ,EWR,5/2/13,7,8,1
CYHZ,EWR,5/2/13,12,13,1
CYHZ,EWR,5/2/13,16,18,1
CYOW,EWR,5/2/13,6,7,1
CYOW,EWR,5/2/13,10,12,1
CYOW,EWR,5/2/13,14,16,1
CYOW,EWR,5/2/13,17,19,1
CYQB,EWR,5/2/13,6,7,1
CYQB,EWR,5/2/13,10,12,1
CYQB,EWR,5/2/13,13,15,1
CYQB,EWR,5/2/13,17,18,1
CYQM,EWR,5/2/13,6,7,1
CYUL,EWR,5/2/13,6,8,1
CYUL,EWR,5/2/13,8,10,1
CYUL,EWR,5/2/13,10,11,1
CYUL,EWR,5/2/13,12,14,1
CYUL,EWR,5/2/13,13,15,1
CYUL,EWR,5/2/13,14,15,1
CYUL,EWR,5/2/13,16,18,1
CYUL,EWR,5/2/13,17,18,1
CYVR,EWR,5/2/13,16,0,1
CYYC,EWR,5/2/13,10,16,1
CYYC,EWR,5/2/13,12,19,1
CYYT,EWR,5/2/13,9,10,1
CYYZ,EWR,5/2/13,6,7,1
CYYZ,EWR,5/2/13,8,9,1
CYYZ,EWR,5/2/13,9,11,1
CYYZ,EWR,5/2/13,11,12,1
CYYZ,EWR,5/2/13,11,13,1
CYYZ,EWR,5/2/13,12,14,3
CYYZ,EWR,5/2/13,16,18,1
CYYZ,EWR,5/2/13,17,19,1
CYYZ,EWR,5/2/13,18,20,2
CYYZ,EWR,5/2/13,20,22,1
EBBR,EWR,5/2/13,10,12,2
EDDF,EWR,5/2/13,8,12,1
EDDF,EWR,5/2/13,11,13,1
EDDF,EWR,5/2/13,13,15,1
EDDH,EWR,5/2/13,9,11,1
EDDL,EWR,5/2/13,12,14,1
EDDM,EWR,5/2/13,9,12,1
EDDM,EWR,5/2/13,15,18,1
EDDS,EWR,5/2/13,9,12,1
EDDT,EWR,5/2/13,9,12,1
EGAA,EWR,5/2/13,11,13,1
EGBB,EWR,5/2/13,9,12,1
EGCC,EWR,5/2/13,9,12,1
EGLL,EWR,5/2/13,8,12,1
EGLL,EWR,5/2/13,10,13,2
EGLL,EWR,5/2/13,16,19,3
EGLL,EWR,5/2/13,18,21,2
EGLL,EWR,5/2/13,20,23,1
EGPF,EWR,5/2/13,9,11,1
EGPH,EWR,5/2/13,9,12,1
EHAM,EWR,5/2/13,9,11,1
EHAM,EWR,5/2/13,13,15,1
EIDW,EWR,5/2/13,9,11,1
EINN,EWR,5/2/13,9,11,1
EKCH,EWR,5/2/13,12,14,1
EKCH,EWR,5/2/13,18,21,1
ENGM,EWR,5/2/13,11,14,1
ESSA,EWR,5/2/13,10,12,1
LEMD,EWR,5/2/13,11,14,1
LFPG,EWR,5/2/13,9,12,1
LFPG,EWR,5/2/13,13,15,1
LFPO,EWR,5/2/13,10,13,1
LFPO,EWR,5/2/13,13,16,1
LIMC,EWR,5/2/13,10,13,1
LIRF,EWR,5/2/13,9,13,1
LLBG,EWR,5/2/13,0,5,1
LLBG,EWR,5/2/13,23,4,1
LPPR,EWR,5/2/13,11,14,1
LPPT,EWR,5/2/13,10,13,1
LSGG,EWR,5/2/13,9,12,1
LSZH,EWR,5/2/13,10,13,1
LSZH,EWR,5/2/13,17,20,1
MDPC,EWR,5/2/13,12,16,1
MDPP,EWR,5/2/13,13,17,1
MDSD,EWR,5/2/13,12,16,1
MMMX,EWR,5/2/13,9,14,1
MMMX,EWR,5/2/13,13,19,1
MMSD,EWR,5/2/13,14,21,1
MMUN,EWR,5/2/13,12,16,1
MMUN,EWR,5/2/13,13,18,1
MPTO,EWR,5/2/13,10,16,1
MROC,EWR,5/2/13,6,13,1
MYNN,EWR,5/2/13,12,16,1
RJAA,EWR,5/2/13,16,16,1
SBGR,EWR,5/2/13,21,4,1
SKBO,EWR,5/2/13,8,15,1
SPIM,EWR,5/2/13,22,7,1
TNCA,EWR,5/2/13,14,19,1
TXKF,EWR,5/2/13,15,17,1
TXKF,EWR,5/2/13,19,20,1
VHHH,EWR,5/2/13,10,14,1
VIDP,EWR,5/2/13,22,4,1
ZBAA,EWR,5/2/13,15,17,1
