Departure,Arrival,Date,Departure,Arrival,Flight
,,,Hour,Hour,Count
,,,,,
,,,,,
CYEG,SFO,5/2/13,13,15,1
CYUL,SFO,5/2/13,8,11,1
CYVR,SFO,5/2/13,6,8,1
CYVR,SFO,5/2/13,8,10,1
CYVR,SFO,5/2/13,12,15,1
CYVR,SFO,5/2/13,15,17,1
CYVR,SFO,5/2/13,16,18,1
CYVR,SFO,5/2/13,16,19,1
CYVR,SFO,5/2/13,19,21,2
CYVR,SFO,5/2/13,20,22,1
CYYC,SFO,5/2/13,7,9,1
CYYC,SFO,5/2/13,11,13,1
CYYC,SFO,5/2/13,12,14,1
CYYC,SFO,5/2/13,18,20,1
CYYJ,SFO,5/2/13,6,8,1
CYYJ,SFO,5/2/13,13,16,1
CYYZ,SFO,5/2/13,8,11,1
CYYZ,SFO,5/2/13,12,15,1
CYYZ,SFO,5/2/13,18,21,1
CYYZ,SFO,5/2/13,20,22,1
EDDF,SFO,5/2/13,9,12,1
EDDF,SFO,5/2/13,14,16,1
EDDF,SFO,5/2/13,17,19,1
EDDM,SFO,5/2/13,16,19,1
EGLL,SFO,5/2/13,10,13,1
EGLL,SFO,5/2/13,12,15,1
EGLL,SFO,5/2/13,14,16,1
EGLL,SFO,5/2/13,14,17,1
EKCH,SFO,5/2/13,12,14,1
LFPG,SFO,5/2/13,10,12,1
LFPG,SFO,5/2/13,10,13,1
LFPG,SFO,5/2/13,16,18,1
LSZH,SFO,5/2/13,13,16,1
MMGL,SFO,5/2/13,7,9,1
MMMX,SFO,5/2/13,6,9,1
MMMX,SFO,5/2/13,14,17,1
MMMX,SFO,5/2/13,20,23,1
MMPR,SFO,5/2/13,16,17,1
MMPR,SFO,5/2/13,17,19,1
MMSD,SFO,5/2/13,15,17,1
MMSD,SFO,5/2/13,16,18,1
MMSD,SFO,5/2/13,17,19,1
MMUN,SFO,5/2/13,16,20,1
MSLP,SFO,5/2/13,19,0,1
NZAA,SFO,5/2/13,19,11,1
OMDB,SFO,5/2/13,8,13,1
RCGM,SFO,5/2/13,4,8,1
RCGM,SFO,5/2/13,11,15,1
RCGM,SFO,5/2/13,15,19,1
RJAA,SFO,5/2/13,15,9,1
RJAA,SFO,5/2/13,17,10,2
RJBB,SFO,5/2/13,16,10,1
RJTT,SFO,5/2/13,0,17,1
RKSI,SFO,5/2/13,16,10,1
RKSI,SFO,5/2/13,17,11,2
RKSI,SFO,5/2/13,17,12,1
RPLL,SFO,5/2/13,22,20,1
SPIM,SFO,5/2/13,9,16,1
VHHH,SFO,5/2/13,0,22,1
VHHH,SFO,5/2/13,14,11,1
VHHH,SFO,5/2/13,22,20,1
YSSY,SFO,5/2/13,14,10,1
ZBAA,SFO,5/2/13,15,12,1
